,en,vn,thailand,indonesia
ads_list.default,Default,Mặc định,ค่าเริ่มต้น,Default
ads.create,Create ads,Tạo quảng cáo,สร้างโฆษณา,Buat iklan
ads.contact,Contact,Số liên hệ,เบอร์ติดต่อ,Nomor Hubungi
ads.campaign,Campaigns,Chiến dịch,แคมเปญ,Kampanye
ads.create_at,Created at,Ngày thêm,สร้างที่,Tambah tanggal
ads.create_by,Created by,Người thêm,สร้างโดย,Orang tambahan
ads.status,Status,Trạng thái,สถานะ,Status
ads.new_ads,New Ads,Thêm quảng cáo mới,New Ads,New Ads
ads.update,Update ads,Cập nhật quảng cáo,อัพเดทโฆษณา,Pembaruan iklan
ads.name,Ads Name,Tên,ชื่อ,Nama
ads.name_pl,Enter ads name,Nhập tên chiến dịch quảng cáo,Enter ads name,Enter ads name
ads.code,Code,Mã QC,รหัส,Kode Iklan
ads.retail,Retail,Bán lẻ,ขายปลีก,Eceran
ads.whole_sale,Whole sale,Bán buôn,ขายส่ง,Grosir
ads.suggest_price,Suggest price,Giá gợi ý,ราคาแนะนำ,Harga yang disarankan
ads.product,Product,Sản phẩm,สินค้า,Produk
ads.apply_all,Apply all,Áp cho tất cả,นำไปใช้กับทั้งหมด,Harga untuk semua
ads.to,To,Đến,ถึง,Tujuan
ads.from,From,Từ,จาก,Dari
ads.quantity,Quantity,Số lượng,จำนวน,Jumlah
ads.price,Price,Giá,ราคา,Harga
ads.add_more_price_range,Add more prices,Thêm khoảng giá,เพิ่มช่วงราคา,Tambah harga 
ads.name_required,Name is required,Vui lòng nhập tên,กรุณากรอกชื่อของคุณ,Silahkan masukan nama anda
ads.code_required,Code is required,Vui lòng nhập mã,กรุณากรอกรหัส,Silakan masukkan kodenya
ads.price_required,Price is required,Vui lòng nhập giá,กรุณาใส่ราคา,Silakan masukkan harga
ads.sku_required,Please select at least one sku,Vui lòng chọn ít nhất một sku,โปรดเลือก SKU อย่างน้อยหนึ่งรายการ,Silakan pilih sedikit dari satu sku
ads.price_range_required,Please fill own quantity range and price,Vui lòng nhập số lượng và giá,กรุณาระบุจำนวนและราคา,Silakan masukkan jumlah dan harga
ads.empty_required,Can't empty,Không để trống,อย่าเว้นว่าง,Jangan biarkan kosong
ads.quantities_must_be_consecutive,Quantities must be consecutive,Mốc khoảng số lượng phải liền nhau,เครื่องหมายปริมาณต้องต่อเนื่องกัน,Tanda kuantitas harus bersebelahan
ads.fb_ads_id,Facebook Ads Id must be a number,Facebook Ads Id phải là 1 số,รหัสโฆษณา Facebook ต้องเป็นตัวเลข,Id Iklan Facebook harus nomor 1
ads.to_must_greater_from,(To) value must be greater than (from) value,Giá trị sau phải lớn hơn giá trị trước,ค่าหลังต้องมากกว่าค่าเดิม,Nilai yang terakhir harus lebih besar dari yang pertama
ads.default,Set to default,Chọn làm mặc định,เลือกเป็นค่าเริ่มต้น,Pilih sebagai default
ads.sku,SKU,SKU,SKU,SKU
ads.properties,Variants,Biến thể,ตัวแปร,Varian
ads.price_required,The price field is required,Không thể trống trường giá,ช่องราคาต้องไม่เว้นว่าง,Kolom harga tidak boleh kosong
ads.quantity_range_required,The quantity range is required,Không thể trống khoảng giá,ช่วงราคาต้องไม่เว้นว่าง,Tidak boleh kosong kolum harga
ads.to_must_greater_from,(To) value must be greater than (from) value,Giá trị sau phải lớn hơn giá trị trước,ค่าหลังต้องมากกว่าค่าเดิม,Nilai yang terakhir harus lebih besar dari yang pertama
ads.select_campaign,Select a campaign,Chọn một chiến dịch,เลือกแคมเปญ,Pilih kampanye
ads.select_adset,Select a adset,Chọn một nhóm quảng cáo,เลือกกลุ่มโฆษณา,Pilih grup iklan
ads.input_name,Input name,Nhập tên,ใส่ชื่อ,Masukkan nama
ads.edit,Edit ads,Sửa quảng cáo,แก้ไขโฆษณา,Merubah iklan
ads.input_fbadid,Input facebook ad id,Nhập Facebook Ad Id,ป้อนรหัสโฆษณา Facebook,Masukkan ID Iklan Facebook
ads.fbadid,Facebook ad id,Facebook Ad Id,รหัสโฆษณา Facebook,ID Iklan Facebook
ads.fb_ad_existed,Facebook ad is existed,Facebook Ad Id đã tồn tại,รหัสโฆษณา Facebook มีอยู่แล้ว,Id Iklan Facebook sudah ada
ads.landing_url,Landing page URL,Landing page URL,URL หน้า Landing Page,halaman arahan URL 
ads.landing_url_pl,Enter landing page URL,Nhập Landing page URL,Enter landing page URL,Enter landing page URL
ads.url_invalid,Url is invalid,Url không đúng định dạng,URL มีรูปแบบไม่ถูกต้อง, Salah format Url
ads.ad_existed,Ad is existed,Quảng cáo đã tồn tại,มีโฆษณาอยู่แล้ว,Iklan sudah ada
ads.gifts,Gifts,Quà tặng,ของขวัญ,hadiah
ads.update_gift,Update gift,Sửa quà tặng,อัพเดทของขวัญ,memperbarui hadiah
ads.add_gift,Add gift,Thêm quà tặng,เพิ่มของขวัญ,tambahkan hadiah
ads.gift_serial,Serial,Stt,ซีเรียล,serial
ads.gift_created_by,Created by,Tạo bởi,สร้างโดย,dibuat oleh
ads.gift_updated_by,Updated by,Cập nhật bởi,ปรับปรุงโดย,diperbaharui oleh
ads.gift_created_at,Created at,Tạo lúc,สร้างที่,dibuat di
ads.gift_updated_at,Updated at,Cập nhật lúc,ปรับปรุงที่,diperbarui pada
ads.facebook_ads,Facebook Ads Id,Facebook Ads Id,Facebook Ads Id,Facebook Ads Id
button.update,Update,Cập nhật,อัพเดท,Memperbarui
button.add,Add,Thêm,เพิ่ม,Lebih
button.delete,Delete,Xóa,ลบ,Hapus
button.save,Save,Lưu lại,บันทึก,Simpan
button.no,No,Không,ไม่ใช่,Tidak
button.yes,Yes,Có,ใช่,Ada
button.cancel,Cancel,Bỏ qua,ข้าม,Melewatkan
button.finish_button,Finish,Lưu,บันทึก,Simpan
button.cancel_button,Cancel,Hủy,ยกเลิก,Membatalkan
button.edit,Edit,Chỉnh sửa,แก้ไข,Merubah
button.filter,Filter,Lọc,กรอง,Filter
button.clear_all_filter,Clear all filters,Xóa bộ lọc,ลบฟิลเตอร์,Hapus filter
button.next,Next,Tiếp tục,Next,Next
button.back_to_home,Back to home,Quay lại trang chủ,กลับหน้าหลัก,kembali ke halaman utama
button.create,Create,Tạo mới,Create,Create
button.validate,Validate,Kiểm tra,Validate,Validate
web_id,Webhook ID,Webhook ID,Webhook ID,Webhook ID
support_contact,Token,Token,Token,Token
user_list.message_success,Successful,Thành công,สำเร็จ,Berhasil
user_list.error_no_account_activate,Please select user(s) to activate,Hãy chọn (các) tài khoản muốn kích hoạt,โปรดเลือกบัญชีที่คุณต้องการเปิดใช้งาน,Silakan pilih akun yang ingin Anda aktifkan
user_list.error_no_account_deactivate,Please select user(s) to deactivate,Hãy chọn (các) tài khoản muốn khóa,โปรดเลือกบัญชีที่คุณต้องการบล็อก,Silakan pilih akun yang ingin Anda blokir
user_list.createdAt,Created time,Thời gian tạo,เวลาสร้าง,Waktu dibuat
months.jan,Jan,T1,มกราคม,Januari
months.feb,Feb,T2,กุมภาพันธ์,Febuari
months.march,Mar,T3,มีนาคม,Maret
months.april,Apr,T4,เมษายน,April
months.may,May,T5,พฤษภาคม,Mei 
months.june,Jun,T6,มิถุนายน,Juni
months.july,Jul,T7,กรกฎาคม,Juli
months.august,Aug,T8,สิงหาคม,Agustus
months.september,Sep,T9,กันยายน,September
months.october,Oct,T10,ตุลาคม,Oktober
months.november,Nov,T11,พฤศจิกายน,November
months.december,Dec,T12,ธันวาคม,Desember
order_list.hasIssue,Stock Issue Order,Đơn tạo phiếu,คำสั่งการออกสต็อค,Formulir pesanan
order_list.createStock,Create Stock Issue,Tạo phiếu xuất,สร้างใบส่งของ,Buat formulir ekspor
order_status.create,Create,Chưa tạo phiếu,ยังไม่มีการสร้าง,Belum dibuat formulir
order_status.created,Created,Đã tạo phiếu,สร้างเรียบร้อย,Sudah dibuat formulir!
order_list.code,Code,Mã đơn,รหัสคำสั่งซื้อ,Kode pesanan
order_list.createdBy,Created By,Chốt đơn,ยืนยันการสั่งซื้อ,Pesanan
order_list.campaign,Source,Nguồn,ที่มา,Sumber
order_list.createdAt,Created time,Ngày chốt đơn,วันยืนยันการสั่งซื้อ,Tanggal Pesanan
order_list.deliveryDate,Delivery date,Ngày hẹn giao,วันที่จัดส่ง,Tanggal janji pengiriman
order_list.customerName,Customer name,Tên khách hàng,ชื่อลูกค้า,Nama Pelanggan
order_list.province,Province,Tỉnh/thành phố,จังหวัด/เมือง,Provinsi/kota
order_list.district,City,Quận/huyện,อำเภอ,Distrik
order_list.customerPhone,Customer phone,Số điện thoại,หมายเลขโทรศัพท์,Nomor telepon
order_list.import_tracking_number_lbc,Import tracking number LBC,Nhập mã vận đơn từ LBC,ป้อนรหัสใบตราส่งสินค้าจาก LBC,Masukkan kode formulir dari LBC
order_list.import_tracking_number_fail_list_title,Error information,Thông báo lỗi,ข้อความผิดพลาด,informasi salah
order_list.import_tracking_number_shippo,Import tracking number Shippo,Nhập mã vận đơn từ Shippo,ป้อนรหัสใบตราส่งสินค้าจาก Shippo,Masukkan kode formulir dari Shippo
order_list.lbc_import_line,Line,Dòng,แถว,Arus
order_list.lbc_import_error,Error,Chi tiết lỗi,ข้อผิดพลาดโดยละเอียด,Kesalahan terperinci
order_list.products,Product,Sản phẩm,สินค้า,Produk
order_list.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Pihak pengiriman
order_list.not_in_manila,Not in Manila,Ngoài Manila,นอกกรุงมะนิลา,Di luar Manila
order_list.ad_creator,Ads created by,Người tạo QC,ผู้สร้าง QC,Pembuat Iklan
order_list.none_courier,None,Chưa có,ยังไม่พร้อมให้บริการ,Belum ada
order_list.payment_status,Payment status,Trạng thái thanh toán,สถานะการชำระเงิน,Status pembayaran
order_list.paid_status,Paid,Đã thanh toán,ชำระแล้ว,Sudah bayar
order_list.unpaid_status,Unpaid,Chưa thanh toán,ค้างชำระ,Belum dibayar
order_list.created_at,Created at,Ngày tạo,วันที่สร้าง,Tambah hari
order_list.check_all,Select All,Chọn tất cả,เลือกทั้งหมด,Pilih Semua
order_list.stock_issue,Stock Issue,Phiếu xuất,ใบส่งของ,Tagihan
order_list.assign_to,Assigned to,Phụ trách,ได้รับมอบหมายให้,Bertanggung jawab 
order_list.unassign_to,Unassign,Chưa phụ trách,ยังไม่ได้มอบหมาย,Belum bertanggung jawab
order_list.unassign_btn,Unassign,Trả contact ,ยกเลิกการมอบหมาย,Kembalikan kontak
order_list.warehouse_note,Warehouse note,Ghi chú của kho,หมายเหตุของคลังสินค้า,Catatan gudang
order_list.campaign,Campaign,Chiến dịch,แคมเปญ,Kampanye
order_list.created_by_placeholder,Search created by,Tìm kiếm người chốt đơn,Search created by,Search created by
order_list.district_placeholder,Select province,Chọn tỉnh/thành phố,เลือกจังหวัด/เมือง,Pilih provinsi/kota
order_list.ward_placeholder,Select ward,Chọn phường xã,Select ward,Select ward
order_list.city_placeholder,Select city,Chọn quận/huyện,เลือกอำเภอ/เขต,Pilih kabupaten/kabupaten
order_list.stock_issue_placeholder,Select stock issue order,Chọn đơn tạo phiếu,เลือกแบบฟอร์มเพื่อสร้างตั๋ว,Pilih formulir untuk membuat tagihan
order_list.courier_placeholder,Select courier,Chọn đơn vị vận chuyển,เลือกหน่วยจัดส่ง,Pilih pihak pengiriman pengiriman
order_list.country,Select country,Chọn quốc gia,เลือกประเทศ,Pilih negara
order_list.country_column,Country,Quốc gia,ประเทศ,Negara
order_list.vendor,Vendor,Vendor,ผู้ขาย,Vendor
order_list.select_status,Select status,Chọn trạng thái,Select status,Select status
order_list.from,From,Từ,จาก,From
order_list.to,To,Đến,ถึง,To
order_status.NEW,New,Mới,ใหม่,Baru
order_status.READY,Ready,Đóng gói xong,บรรจุเสร็จแล้ว,Selesai Packing
order_status.PICKED_UP,Picked up,Đã lấy hàng,ไปรับ,Sudah ambil barang
order_status.DELIVERING,Delivering,Đang giao,กำลังส่งของ,Sedang Pengiriman
order_status.DELIVERED,Delivered,Đã nhận,ได้รับของแล้ว,Sudah terima
order_status.HOLD,Hold,Chưa gửi,ยังไม่ได้จัดส่ง,Belum kirim
order_status.RETURNED,Returned,Bị trả lại,ของโดนตีกลับ,Retur
order_status.CANCELLED,Cancelled,Hủy,ยกเลิก,Batal
order_status.DELIVERY_FAILED,Delivery Failed,Giao hàng thất bại,การจัดส่งล้มเหลว,Pengiriman gagal
order_status.WAREHOUSE_RECEIVED,Warehouse Received,Kho đã tiếp nhận,Warehouse Received,Warehouse Received
order_status.PACKING,Packing,Đang đóng gói,Packing,Packing
order_status_cancelled.CANCELLED_BY_CUSTOMER,Cancel by customer,Khách hàng hủy đơn hàng,ลูกค้ายกเลิกคำสั่งซื้อ,Pelanggan membatalkan pesanan
order_status_cancelled.OTHER,Other ,Lý do khác,เหตุผลอื่น ๆ,Alasan lain
order_status_cancelled.OUT_OF_DELIVERY_ZONE,Out of Delivery Zone,Đơn vị vận chuyển không hỗ trợ giao,หน่วยจัดส่งไม่รองรับการจัดส่ง,Pihak pengiriman tidak mendukung pengiriman
order_list.status,Status,Trạng thái,สถานะ,Status
order.order_code_auto_generates,System automatically generates order code,Để trống hệ thống tự động sinh mã đơn hàng,System automatically generates order code,System automatically generates order code
order.order_code_placeholder,Search order code of order,Tìm kiếm theo mã đơn hàng,Search order code of order,Search order code of order
order.tracking_number_placeholder,Search tracking number of order,Tìm kiếm theo mã vận đơn,Search tracking number of order,Search tracking number of order
order.sku_code_placeholder,Search sku code of order,Tìm kiếm theo mã sku,Search sku code of order,Search sku code of order
order.status_placeholder,Select status of order,Chọn trạng thái đơn hàng,Select status of order,Select status of order
order.name_placeholder,Search customer name of order,Tìm kiếm theo tên khách hàng,Search customer name of order,Search customer name of order
order.phone_placeholder,Search customer phone of order,Tìm kiếm theo số điện thoại khách hàng,Search customer phone of order,Search customer phone of order
order.payment_type_placeholder,Select payment type of order,Tìm kiếm theo loại thanh toán,Select payment type of order,Select payment type of order
order.import_order,Import Order From Excel File,Import Order From Excel File,Import Order From Excel File,Import Order From Excel File
order.import_order_title,Import Order,Import Order,Import Order,Import Order
order.draft_list,Draft Orders,Danh sách đơn hàng tạm,Draft Orders,Draft Orders
order.import_required,You have to upload file order,Bạn phải upload file đơn hàng,You have to upload file order,You have to upload file order
order.upload,Upload,Tải lên,Upload,Upload
error.timeout,Request timeout; please try again later,Máy chủ phản hồi quá chậm; vui lòng thử lại,เซิร์ฟเวอร์ตอบสนองช้าเกินไป กรุณาลองอีกครั้ง,Pusat merespons terlalu lambat; Silakan coba lagi
error.receipt_detail_status,Can't change status,Không thể chuyển trạng thái,เปลี่ยนสถานะไม่ได้,Tidak dapat mengubah status
error.status,You can't update back to previous status,Bạn không thể cập nhật trạng thái trước đó,คุณไม่สามารถอัปเดตสถานะก่อนหน้า,Anda tidak dapat memperbarui status kembali
error.once,We are still processing your request; please wait,Bạn thao tác nhanh quá; hệ thống vẫn đang xử lý,คุณทำเร็วเกินไป ระบบยังคงประมวลผลอยู่,Anda bertindak terlalu cepat; Sistem masih memproses
order_status.RETURN,Return,Trả lại,ส่งกลับ,Retur
order_status.RETURNED,Returned,Đổi trả hàng thành công,ส่งคืนและเปลี่ยนสำเร็จ,Pengembalian sudah berhasil
order_status.RETURNING,Returning,Đơn hoàn,แบบฟอร์มขอคืนเงิน,Paket retur
order_status.EXCHANGE,Exchange,Đổi hàng,แลกเปลี่ยนสินค้า,Tukaran Produk
order_status.DRAFT,Draft,Đơn nháp,ร่างคำสั่งซื้อ,Pesanan Draf 
order_sub_status.WRONG,Wrong,Không giống miêu tả,ไม่เป็นไปตามที่อธิบายไว้,Barang tidak seperti gambar
order_sub_status.DEFECTIVE,Defective,Hàng hư lỗi,สินค้าเสียหาย,Barang rusak
tracking_status.NOT_FOUND,Notfound,Không có thông tin,ไม่มีข้อมูล,Tidak ada informasi
tracking_status.PENDING,Pending,Đang cập nhật,กำลังอัปเดต,Memperbarui
tracking_status.RETURN_COMPLETED,Return Completed,Đổi trả thành công,ส่งคืนเสร็จสิ้น,Tukaran sukses
tracking_status.DELIVERING,Delivering,Đang vận chuyển,กำลังขนส่ง,Sedang Pengiriman
tracking_status.DELIVERED,Delivered,Chuyển hàng thành công,จัดส่งเรียบร้อย,Pengiriman sukses
tracking_status.EXCEPTION,Exception,Có lỗi xảy ra,เกิดข้อผิดพลาด,Kesalahan terjadi
tracking_status.EXPIRED,Expired,Hết hạn,หมดอายุ,kadaluarsa
tracking_status.pending,Pending,Pending,รอดำเนินการ,Tertunda
tracking_status.waiting,Waiting,Waiting,รอดำเนินการ,Menunggu
tracking_status.FAILED_ATTEMPT,Failed Attempt,Vận chuyển lỗi,ข้อผิดพลาดในการจัดส่ง,kesalahan pengiriman
dashboard.new_contact,New contact,Liên hệ mới,ผู้ติดต่อใหม่,Kontak baru
dashboard.new_call,New call,Cuộc gọi mới,โทรใหม่,Panggilan baru
dashboard.new_delivered_order,New delivered order,Đơn hàng đã giao,คำสั่งซื้อที่จัดส่งแล้ว,Pesanan sudah kirim
dashboard.new_scheduled_order,Scheduled order today,Đơn hàng hẹn giao hôm nay,กำหนดจัดส่งคำสั่งซื้อวันนี้,Pesanan dijadwalkan akan dikirim hari ini
dashboard.new_order,New order,Đơn hàng mới,คำสั่งซื้อใหม่,Pesanan baru
dashboard.order,Order,Đơn hàng,คำสั่งซื้อ,Pesanan
dashboard.contact,Contact,Liên hệ,ติดต่อ,Kontak
dashboard.yesterday,Yesterday,Hôm qua,เมื่อวาน,Kemarin
dashboard.contact_appointment,Schedule today ,Đặt lịch gọi lại,กำหนดเวลาโทรกลับ,Jadwal untuk telepon kembali
dashboard.contact_assign,Assign today,Được giao  hôm nay,ได้จัดส่งวันนี้,Dikirim hari ini
dashboard.contact_reservation,Schedule delivery,Cần phải gọi lại,ต้องโทรกลับ,Perlu menelepon kembali
dashboard.new_stock_issue,New stock issue,Phiếu xuất mới,ใบส่งของใหม่,Eskpor tagihan baru
dashboard.stock_issue_need_processed,Stock issues need to be processed,Phiếu xuất cần xử lý,ใบส่งของได้รับการประมวลผล,ekspor tagihan perlu diproses
dashboard.stock_issue_processed,Stock issues processed,Phiếu xuất đã xử lý,ใบส่งของได้ประมวลผลแล้ว,Tahigan sudah selesaikan
dashboard.select_country,Select country,Chọn quốc gia,Select country,Select country
dashboard.warehouse,Warehouse,Kho,คลังสินค้า,Gudang
dashboard.select_vendor,Select vendor,Chọn đối tác,Select vendor,Select vendor
dashboard.vendor,Vendor,Đối tác,Vendor,Vendor
dashboard.country,Country,Quốc gia,Country,Country
dashboard.my_contact,My Contact,Liên hệ của tôi,ผู้ติดต่อของฉัน,Kontak saya
dashboard.my_order,My Order,Đơn hàng của tôi,My Order,My Order
dashboard.dashboard,Dashboard,Bảng điều khiển,Dashboard,Dashboard
dashboard.vendor_management,Vendor management,Quản lý đối tác ,Vendor management,Vendor management
tab.count_selected,Selected,Được chọn,เลือกแล้ว,Terpilih
profile.password,Change password,Đổi mật khẩu,เปลี่ยนรหัสผ่าน,Ganti kata sandi
profile.user,Profile,Hồ sơ,ไฟล์,Profil
profile.sign_out,Sign out,Đăng xuất,ออกจากระบบ,Keluar
profile.title,User Profile,Hồ sơ cá nhân,ข้อมูลส่วนตัว,Profil
profile.activity,Activity,Hành động,กิจกรรม,Bertindak
profile.setting,Setting,Chỉnh sửa,แก้ไข,Merubah
profile.fullname,Fullname,Họ và tên,ชื่อและนามสกุล,Nama lengkap
profile.address,Address,Địa chỉ,ที่อยู่,Alamat
profile.gender,Gender,Giới tính,เพศ,Seks
profile.birthday,Birthday,Ngày sinh,วันเกิด,Tanggal lahir
profile.submit,Submit,Cập nhật,อัพเดท,Memperbarui
statistics_edit_content.add_report,Add Report,Thêm thống kê,เพิ่มสถิติ,Tambah statistik
statistics_edit_content.embed_code,Power BI Link,Power BI Link,ลิงค์พาวเวอร์ BI,Kekuasaan Link BI
statistics.add,Add,Thêm mới,เพิ่มใหม่,Tambah baru
statistics.edit_content,Edit Content,Chỉnh sửa nội dung,แก้ไขเนื้อหา,Mengedit konten
statistics.edit,Edit,Sửa,แก้ไข,Perbaikan
statistics.title,Statistics,Thống kê,สถิติ,Statistik
profile.fullname_length,Fullname length is incorrect,Độ dài tên không đúng,ความยาวของชื่อไม่ถูกต้อง,Nama panjang salah
profile.address_length,Address length is incorrect,Độ dài địa chỉ không đúng,ความยาวของที่อยู่ไม่ถูกต้อง,Alamat  panjang salah
profile.username_length,Username length is incorrect,Độ dài tên đăng nhập không đúng,ความยาวของชื่อผู้ใช้ไม่ถูกต้อง,Nama pengguna panjang salah
profile.displayname_length,Displayname length is incorrect,Độ dài tên hiển thị không đúng,ความยาวของชื่อที่แสดงไม่ถูกต้อง,Nama tampilan panjang  salah
profile.password_length,Password length is incorrect,Độ dài mật khẩu không đúng,ความยาวรหัสผ่านไม่ถูกต้อง, Kata sandi Panjang salah
profile.avatar,Change avatar,Thay đổi ảnh đại diện,เปลี่ยนรูปประจำตัว,Mengubah avatar
profile.male,Male,Nam,ชาย,Pria
profile.female,Female,Nữ,หญิง,Perempuan
profile.other,Other,Khác,อื่นๆ,Lain
profile.display_name,Display name,Tên hiển thị,ชื่อที่แสดง,Nama tampilan
profile.email,Email,Địa chỉ email,ที่อยู่อีเมล,Alamat email
profile.phone,Phone,Điện thoại,โทรศัพท์,Telepon
profile.current_password,Current password,Mật khẩu hiện tại,รหัสผ่านปัจจุบัน,kata sandi 
profile.confirm_password,Confirm password,Xác nhận mật khẩu,ยืนยันรหัสผ่าน,Konfirmasi kata sandi
profile.change_password,Change password,Thay đổi mật khẩu,เปลี่ยนรหัสผ่าน,Mengubah kata sandi
profile.personality,Personality,Thông tin cá nhân,ข้อมูลส่วนบุคคล,Informasi pribadi
profile.new_password,New password,Mật khẩu mới,รหัสผ่านใหม่,Kata sandi baru
profile.confirm_password_validate,Confirm password must like new password,Mật khẩu xác nhận phải giống mật khẩu mới,รหัสผ่านยืนยันต้องเหมือนกับรหัสผ่านใหม่,Kata sandi yang konfirmasi harus sama dengan kata sandi baru
profile.type_avatar,File import is not an image,Vui lòng chọn đúng file ảnh,โปรดเลือกไฟล์รูปภาพที่ถูกต้อง,Silakan pilih file gambar yang benar
stock_issue_detail.export,Export CSV File,Xuất file CSV,ส่งออกไฟล์ CSV,Ekspor file CSV
stock_issue_detail.empty_records,Have no orders yet,Không tồn tại bản ghi nào,ไม่มีบันทึก,Tidak ada yang catatan
stock_issue_detail.orderId,ID Order,ID Order,รหัสคำสั่งซื้อ,Id pesanan
stock_issue_detail.createdBy,Created By,Chốt đơn,ปิดคำสั่งซื้อ,Dapatkan pesanan
stock_issue_detail.campaign,Source,Nguồn,ที่มา,Sumber
stock_issue_detail.createdAt,Created Time,Ngày chốt đơn,วันปิดรับคำสั่งซื้อ,Tanggal dapatkan pesanan
stock_issue_detail.deliveryDate,Delivery Date,Ngày hẹn giao,วันที่จัดส่ง,Tanggal janji pengiriman
stock_issue_detail.contactName,Contact Name,Tên khách hàng,ชื่อลูกค้า,Nama Pelanggan
stock_issue_detail.addOrder,Add Order,Thêm đơn,เพิ่มคำสั่งซื้อ,Tambahkan pesanan
stock_issue_detail.status,Status,Trạng thái đơn,สถานะคำสั่งซื้อ,Status pesanan
stock_issue_detail.contactPhone,Phone Number,Số điện thoại,หมายเลขโทรศัพท์,Nomor telepon
stock_issue_detail.import_tracking_number_lbc,Import tracking number LBC,Nhập mã vận đơn từ LBC,ป้อนรหัสใบตราส่งสินค้าจาก LBC,Masukkan kode pesanan dari LBC
stock_issue_detail.import_tracking_number_fail_list_title,Error information,Thông báo lỗi,ข้อความผิดพลาด,Pesanan keselahan
stock_issue_detail.import_tracking_number_shippo,Import tracking number Shippo,Nhập mã vận đơn từ Shippo,ป้อนรหัสใบตราส่งสินค้าจาก Shippo,Masukkan kode pesanan dari Shippo
stock_issue_detail.lbc_import_line,Line,Dòng,แถว,Baris
stock_issue_detail.lbc_import_error,Error,Chi tiết lỗi,ข้อผิดพลาดโดยละเอียด,Rincian keselahan 
stock_issue_detail.products,Product,Sản phẩm,สินค้า,Produk
stock_issue_detail.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Pihak pengiriman
stock_issue_detail.not_in_manila,Not in Manila,Ngoài Manila,นอกกรุงมะนิลา,Di luar Manila
stock_issue_detail.ad_creator,Ads created by,Người tạo QC,ผู้สร้าง QC,Pembuat iklan
stock_issue_detail.none_courier,None,Chưa có,ยังไม่พร้อมให้บริการ,Belum ada
stock_issue_detail.title,Stock Issue Detail,Chi tiết phiếu xuất,รายละเอียดใบส่งของ,Rincina tagihan
stock_issue_detail.select,Select,Lựa chọn,การคัดเลือก,Pilihan
stock_issue_detail.district,District,Quận/Huyện,อำเภอ,Distrik
stock_issue_detail.province,Province,Tỉnh/Thành phố,จังหวัด/เมือง,Provinsi/Kota
stock_issue_detail.stock_issue,Stock issue,Phiếu xuất,ใบส่งของ,Tagihan
stock_issue_detail.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Pihak pengiriman
stock_issue_detail.payment_status,Payment status,Tình trạng thanh toán,สถานะการชำระเงิน,Status pembayaran
stock_issue_detail.delete_order,Delete Orders,Xóa đơn,ลบคำสั่งซื้อ,Hapus Pesanan
stock_receipts_detail.title,Stock Receipts Detail,Chi tiết phiếu nhập,รายละเอียดใบรับของ,Rincian tagihan masuk
stock_receipts_detail.add_propduct,Add Product,Thêm sản phẩm,เพิ่มสินค้า,Produk lainnya
stock_receipts_detail.edit_propduct,Edit Product,Chỉnh sửa sản phẩm,แก้ไขสินค้า,Mengedit produk
add_order.title,Add Order,Thêm đơn,เพิ่มคำสั่งซื้อ,Tambahkan pesanan
stock_issue.warehouse_id,Warehouse ID,Mã kho,รหัสคลังสินค้า,Kode stok
stock_issue.created_at,Created at,Ngày tạo,วันที่สร้าง,Tanggal dibuat
stock_issue.created_by,Created by,Người tạo,ผู้สร้าง,Orang dibuat
stock_issue.status,Status,Trạng thái,สถานะ,Status
stock_issue.carrier,Carrier,Đơn vị vận chuyển,หน่วยจัดส่ง,Pihak pengiriman
stock_issue.stock_issue,Stock issues,Phiếu xuất,ใบส่งของ,Tagihan
stock_issue.add_stock_issue,Add stock issue,Thêm phiếu xuất,เพิ่มใบส่งของ,Tambahkan eskpor tagihan 
stock_issue.filter_result,Found no record,Không có phiếu xuất kho nào,ไม่มีใบส่งของ,Tidak ada tagihan yang pengiriman dari stok
stock_issue.clear_filter,Clear all filters,Xóa bộ lọc,ลบฟิลเตอร์,Hapus filter
stock_issue.order,Order,Số lượng đơn,จำนวนคำสั่งซื้อ,Jumlah pesanan
stock_issue.stock_issue,STOCK ISSUES,Phiếu xuất,ใบส่งของ,Tagihan
stock_issue.add_stock_issue,Add Stock Issue,Thêm phiếu xuất,เพิ่มใบส่งของ,Tambahkan tagihan
stock_issue.search_id,Search Code,Tìm kiếm Code,ค้นหารหัส,Cari Kode
stock_issue.new,New,Mới,ใหม่,Baru
stock_issue.done,Done,Hoàn thành,เสร็จสิ้น,Selesai
stock_issue.processing,Processing,Đang xử lý,กำลังดำเนินการ,Sedang proses
stock_issue.filter,Filter,Bộ lọc,ฟิลเตอร์,Filter
stock_issue.exported,Exported,Đã xuất,ส่งออก,Sudah ekspor
stock_issue.not_export,Not Export,Chưa xuất,ยังไม่ส่งออก,Belum diekspor
stock_issue.finish,Finish,Hoàn thành,เสร็จสิ้น,Selesai
stock_issue.title,Stock issue,Danh sách phiếu xuất,รายการใบส่งของ,Daftar tagihan ekspor
stock_issue.id,StockIssue Code,Mã phiếu xuất,รหัสใบส่งของ,Kode tagihan
stock_issue.new_stock_issue,New StockIssue,Phiếu xuất mới,ใบส่งของใหม่,Tagihan eskpor baru
